id,date_applied,post_id,slug,category,phase,changed,report,keyphrase,base_start,base_end,base_impr,base_clicks,base_ctr,base_pos,kw_base_impr,kw_base_pos,backup,verify_due
7333-2026-08-14,2026-08-14,7333,ev114-ima-li-registriran-tesla-cybertruck-v-blgariya,ev-news,C,alt,2026-08-13-7333-cybertruck-bulgaria.md,Tesla Cybertruck България,2026-07-17,2026-08-13,190,7,0.0368,7.2,,,media-7334-2026-08-14.csv,2026-09-11
7533-2026-08-14,2026-08-14,7533,tesla-cybertruck-moshh-inovacziya-i-dizajn-bez-graniczi-zvyart-ot-bdeshheto-veche-e-tuk,ev-review,C,inbound,2026-08-14-7533-cybertruck-review-inbound-link.md,,2026-07-17,2026-08-13,68,1,0.0147,4.8,,,,2026-09-11
7333-2026-08-14-b,2026-08-14,7333,ev114-ima-li-registriran-tesla-cybertruck-v-blgariya,ev-news,C,metadesc|tags,2026-08-13-7333-cybertruck-bulgaria.md,Tesla Cybertruck България,2026-07-17,2026-08-13,190,7,0.0368,7.2,,,7333-2026-08-14.csv,2026-09-11
7333-2026-08-14-c,2026-08-14,7333,ev114-ima-li-registriran-tesla-cybertruck-v-blgariya,ev-news,C,tags,2026-08-13-7333-cybertruck-bulgaria.md,Tesla Cybertruck България,2026-07-17,2026-08-13,190,7,0.0368,7.2,,,7333-2026-08-14-tags-correction.csv,2026-09-11
7333-2026-08-14-d,2026-08-14,7333,ev114-ima-li-registriran-tesla-cybertruck-v-blgariya,ev-news,C,media_title,2026-08-13-7333-cybertruck-bulgaria.md,Tesla Cybertruck България,2026-07-17,2026-08-13,190,7,0.0368,7.2,,,media-7334-2026-08-14-title.csv,2026-09-11
6165-2026-08-14,2026-08-14,6165,noviyat-tesla-model-y-juniper-2025-be-predstaven-v-evropa,publications,C,title|metadesc|focuskw|tags,2026-08-14-6165-tesla-model-y-juniper.md,Tesla Model Y Juniper,2026-07-17,2026-08-13,996,23,0.0231,5.2,,,6165-2026-08-14.csv,2026-09-11
6165-2026-08-14-b,2026-08-14,6165,noviyat-tesla-model-y-juniper-2025-be-predstaven-v-evropa,publications,C,alt|media_title,2026-08-14-6165-tesla-model-y-juniper.md,Tesla Model Y Juniper,2026-07-17,2026-08-13,996,23,0.0231,5.2,,,media-6265-2026-08-14.csv,2026-09-11
7533-2026-08-14-b,2026-08-14,7533,tesla-cybertruck-moshh-inovacziya-i-dizajn-bez-graniczi-zvyart-ot-bdeshheto-veche-e-tuk,ev-review,C,title|metadesc|focuskw|tags,2026-08-14-7533-cybertruck-review-inbound-link.md,Tesla Cybertruck характеристики,2026-07-17,2026-08-13,68,1,0.0147,4.8,,,7533-2026-08-14.csv,2026-09-11
7533-2026-08-14-c,2026-08-14,7533,tesla-cybertruck-moshh-inovacziya-i-dizajn-bez-graniczi-zvyart-ot-bdeshheto-veche-e-tuk,ev-review,C,alt|media_title,2026-08-14-7533-cybertruck-review-inbound-link.md,Tesla Cybertruck характеристики,2026-07-17,2026-08-13,68,1,0.0147,4.8,,,media-7534-2026-08-14.csv,2026-09-11
8659-2026-08-15,2026-08-15,8659,ev151-zeekr-veche-e-v-blgariya,ev-news,B,content,2026-08-15-8659-zeekr-veche-e-v-blgariya.md,Zeekr представителство в България,2026-05-17,2026-08-14,2,0,0.0000,9.0,,,,2026-10-10
8659-2026-08-15-C,2026-08-15,8659,ev151-zeekr-veche-e-v-blgariya,ev-news,C,title|metadesc|focuskw|tags|alt,2026-08-15-8659-zeekr-veche-e-v-blgariya.md,Zeekr представителство в България,2026-05-17,2026-08-14,2,0,0.0000,9.0,,,8659-2026-08-15.csv;media-8662-2026-08-15.csv,2026-09-12
9178-2026-08-15,2026-08-15,9178,ev158-nasheto-nai-novo-video-zeekr-7h-kitaiskiyat-otgovor-na-bmw,ev-news,B,content,2026-08-15-9178-zeekr-7h-kitaiskiyat-otgovor-na-bmw.md,Zeekr 7X vs BMW iX3,2026-07-08,2026-08-14,2,0,0.0000,10.0,,,,2026-10-10
9178-2026-08-15-C,2026-08-15,9178,ev158-nasheto-nai-novo-video-zeekr-7h-kitaiskiyat-otgovor-na-bmw,ev-news,C,title|metadesc|focuskw|tags|alt,2026-08-15-9178-zeekr-7h-kitaiskiyat-otgovor-na-bmw.md,Zeekr 7X vs BMW iX3,2026-07-08,2026-08-14,2,0,0.0000,10.0,,,9178-2026-08-15.csv;media-9179-2026-08-15.csv,2026-09-12
8950-2026-08-15-C,2026-08-15,8950,zeekr-v-evropa-skorost-garancziya-i-serviz-bez-kompromisi,ev-masters,C,title|metadesc|focuskw|tags|alt|outbound,2026-08-15-8950-zeekr-v-evropa-garancziya-serviz.md,Zeekr Golden Brick батерия,2026-05-17,2026-08-14,0,0,0.0000,,,,8950-2026-08-15.csv;media-8950-images-2026-08-15.csv,2026-09-12
7577-2026-08-15,2026-08-15,7577,ev122-zeekr-v-balgariya,ev-news,B,content,2026-08-15-7577-zeekr-v-balgariya.md,Zeekr влиза в България,2025-10-14,2026-08-14,0,0,0.0000,,,,,2026-10-10
7577-2026-08-15-C,2026-08-15,7577,ev122-zeekr-v-balgariya,ev-news,C,title|metadesc|focuskw|tags|alt,2026-08-15-7577-zeekr-v-balgariya.md,Zeekr влиза в България,2025-10-14,2026-08-14,0,0,0.0000,,,,7577-2026-08-15.csv;media-7578-2026-08-15.csv,2026-09-12
8913-2026-08-15-C,2026-08-15,8913,zeekr-viziyata-zad-markata-i-kak-tehnologichniyat-premium-brand-zavladyava-evropa,publications,C,title|metadesc|focuskw|tags|alt,2026-08-15-8913-zeekr-viziyata-zad-markata.md,Zeekr 7GT,2026-05-17,2026-08-14,0,0,0.0000,,,,8913-2026-08-15.csv;media-8913-images-2026-08-15.csv,2026-09-12
8968-2026-08-15,2026-08-15,8968,ev156-kakva-sedmicza-karahme-renault-4-plein-sud-zeekr-7gt,ev-news,B,content,2026-08-15-8968-zeekr-7gt-vs-bmw.md,Zeekr 7GT vs BMW,2026-05-17,2026-08-14,0,0,0.0000,,,,,2026-10-10
8968-2026-08-15-C,2026-08-15,8968,ev156-kakva-sedmicza-karahme-renault-4-plein-sud-zeekr-7gt,ev-news,C,title|metadesc|focuskw|tags|alt|inbound,2026-08-15-8968-zeekr-7gt-vs-bmw.md,Zeekr 7GT vs BMW,2026-05-17,2026-08-14,0,0,0.0000,,,,8968-2026-08-15.csv;media-8970-2026-08-15.csv,2026-09-12
9383-2026-09-03,2026-09-03,9383,ev164-hyundai-planira-mnogo-novi-modeli-do-2030,ev-news,B,content,2026-09-03-9383-ev164-hyundai.md,Hyundai нови модели до 2030,2026-09-02,2026-09-03,0,0,0.0000,,,,,2026-10-29
9383-2026-09-03-C,2026-09-03,9383,ev164-hyundai-planira-mnogo-novi-modeli-do-2030,ev-news,C,title|metadesc|focuskw|tags|alt|inbound,2026-09-03-9383-ev164-hyundai.md,Hyundai нови модели до 2030,2026-09-02,2026-09-03,0,0,0.0000,,,,9383-2026-09-03.csv;media-9384-2026-09-03.csv,2026-10-01
1039-2026-09-04-C,2026-09-04,1039,porsche-taycan-turbo-s-nai-burzata-kola,ev-review,C,title|metadesc|focuskw|alt,2026-09-04-1039-porsche-taycan-turbo-s.md,Porsche Taycan Turbo S,2026-08-07,2026-09-03,5,0,0.0000,6.2,,,1039-2026-09-04.csv;media-1108-2026-09-04.csv,2026-10-02
625-2026-09-04-C,2026-09-04,625,porsche-postavya-macan-na-izpitaniq-v-imeto-na-proizvoditelnostta,publications,C,title|metadesc|focuskw|alt|outbound,2026-09-04-625-porsche-macan-electric-testove.md,Porsche Macan Electric,2026-08-07,2026-09-03,4,0,0.0000,6.75,,,625-2026-09-04.csv;media-1008-2026-09-04.csv,2026-10-02
7828-2026-09-04,2026-09-04,7828,ev128-noviya-elektricheski-cayenne-na-porsche,ev-news,B,content,2026-09-04-7828-ev128-cayenne-electric.md,Porsche Cayenne Electric,2026-08-07,2026-09-03,12,0,0.0000,5,,,,2026-10-30
9350-2026-09-04-C,2026-09-04,9350,kak-ebag-zarezhda-badestheto-167-avtomobila-4500-porachki-na-den-i-zastho-zalagat-na-elektromobili,ev-masters,C,title|metadesc|focuskw|tags|alt|inbound,2026-09-04-9350-ebag-electric-fleet.md,зареждане на електромобили в автопарк,2026-09-02,2026-09-03,0,0,0.0000,,,,9350-2026-09-04.csv;9350-media-2026-09-04.csv,2026-10-02
7828-2026-09-04-C,2026-09-04,7828,ev128-noviya-elektricheski-cayenne-na-porsche,ev-news,C,title|metadesc|focuskw|tags|alt,2026-09-04-7828-ev128-cayenne-electric.md,Porsche Cayenne Electric,2026-08-07,2026-09-03,12,0,0.0000,5,,,7828-2026-09-04.csv;media-7829-2026-09-04.csv,2026-10-02
